Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1,University of São Paulo,Brazil,89.3,88.3,99.9,90.0,93.8,41.5
2,University of Campinas,Brazil,87.7,88.7,99.5,86.9,76.5,38.6
3,Federal University of Rio de Janeiro,Brazil,83.8,86.8,99.5,70.7,83.8,34.5
5,Universidade Estadual Paulista (Unesp),Brazil,81.7,84.9,97.2,73.5,48.2,37.0
6,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,79.8,79.5,97.3,66.2,74.4,41.8
=7,Universidade Federal do Rio Grande do Sul,Brazil,78.0,78.7,90.7,77.0,55.9,32.8
10,Universidade Federal de Santa Catarina,Brazil,76.6,77.8,90.5,69.5,66.0,34.0
11,Universidade Federal de São Paulo (UNIFESP),Brazil,74.6,75.8,90.0,66.2,54.8,32.6
13,Federal University of Minas Gerais,Brazil,73.7,82.0,84.6,62.4,49.2,30.0
14,Federal University of São Carlos,Brazil,73.5,76.6,87.9,65.1,51.3,29.2
16,Universidade Federal do Paraná (UFPR),Brazil,68.6,76.9,81.8,50.0,47.3,31.8
17,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,66.9,73.1,78.8,50.2,58.5,34.3
18,University of Brasília,Brazil,65.8,73.8,78.4,50.0,28.8,34.6
=19,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,64.5,78.0,74.2,45.8,29.4,27.1
=19,Universidade Federal do Ceará (UFC),Brazil,64.5,67.5,82.0,48.4,45.4,24.7
21,Universidade Federal de Pernambuco,Brazil,63.0,74.7,71.6,45.6,50.8,23.5
22,Universidade Federal do ABC (UFABC),Brazil,62.0,54.4,76.4,65.1,26.2,44.3
23,Federal University of Viçosa,Brazil,61.9,74.1,71.4,45.7,29.8,22.9
25,Federal University of Lavras,Brazil,60.4,65.3,71.5,52.3,29.1,26.4
26,Fluminense Federal University,Brazil,59.6,60.3,74.2,51.6,26.9,29.1
27,Federal University of Santa Maria,Brazil,59.4,68.4,62.6,57.9,28.5,23.7
29,Universidade Federal da Bahia,Brazil,58.8,69.5,69.8,40.8,22.5,26.9
34,Federal University of Rio Grande do Norte (UFRN),Brazil,56.7,60.8,66.9,46.6,33.7,30.9
38,Universidade Estadual de Maringá,Brazil,54.1,61.4,65.3,40.9,26.0,20.8
42,Federal University of Pelotas,Brazil,52.0,45.7,67.8,53.5,24.3,21.6
=43,Unisinos University,Brazil,51.9,51.0,65.8,42.7,36.2,27.0
45,Londrina State University,Brazil,50.8,60.1,57.5,37.2,34.5,22.6
46,Pontifícia Universidade Católica do Paraná,Brazil,50.1,44.4,60.0,52.4,44.5,29.1
48,Federal University of Uberlândia,Brazil,49.8,53.6,57.3,42.1,42.3,22.5
49,Federal University of Espírito Santo,Brazil,49.2,50.3,56.5,43.7,46.9,27.3
54,Universidade Federal de Juiz de Fora,Brazil,47.4,48.2,54.1,47.3,23.1,27.1
56,Federal University of Goiás,Brazil,46.3,55.1,48.8,39.0,25.1,25.6
59,Federal University of Pará,Brazil,45.9,46.2,56.0,41.3,23.3,23.6
60,Universidade do Estado de Santa Catarina,Brazil,45.7,57.7,50.0,31.7,23.0,20.3
69,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,42.6,38.6,48.2,46.5,46.0,23.8
=70,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,42.5,36.8,51.1,47.3,28.8,25.2
75,Federal Rural University of Pernambuco,Brazil,41.6,49.4,43.0,36.7,21.9,22.9
76,PUC-Campinas,Brazil,41.3,54.5,50.1,15.5,18.3,21.5
=78,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,40.6,44.8,40.7,39.5,21.2,33.8
