Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
251,Universidade de São Paulo,Brazil,48.45,56.4,54,40.6,39.9,33.9
501,Universidade Estadual de Campinas,Brazil,37,44.6,38,34.8,44.8,30.6
601,Universidade Federal de Minas Gerais,Brazil,31.75,30.2,17.9,52,38.8,29.6
601,Universidade Federal do Rio Grande do Sul,Brazil,31.75,29.6,18.3,49.3,46.5,26.3
601,Universidade Federal de Santa Catarina,Brazil,31.75,28.4,13.1,52.6,38.7,29.4
601,Universidade Federal de São Paulo,Brazil,31.75,32.6,17.8,43.3,35.7,28.6
601,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,31.75,27.4,25.6,27.9,99.5,41.5
801,Universidade de Brasília,Brazil,25.2,25.8,14.4,36.8,34.5,30.9
801,Universidade Estadual Paulista,Brazil,25.2,34.4,23,16.8,36.9,25.1
801,Universidade Federal de Pelotas,Brazil,25.2,17.9,11,48.6,34.4,20
801,Universidade Federal do Rio de Janeiro,Brazil,25.2,34.4,22,26.1,35.5,28.7
801,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,25.2,18.7,13.5,41.1,49.7,25.8
1001,Universidade de Caxias do Sul,Brazil,16.4,13.8,7.8,7.6,35,17.7
1001,Universidade Estadual do Ceará,Brazil,16.4,16.2,8.3,6.1,35.6,16.3
1001,Universidade do Estado do Rio de Janeiro,Brazil,16.4,24.2,10.9,15.2,38.1,21.6
1001,Universidade do Estado de Santa Catarina,Brazil,16.4,18.1,9.3,19.6,34.5,16
1001,Universidade Estadual de Maringá,Brazil,16.4,19.6,10,8.8,34.7,17.4
1001,Universidade Estadual do Oeste do Paraná,Brazil,16.4,18.8,10.7,4,34.9,15.2
1001,Universidade Federal do ABC,Brazil,16.4,15.9,11.8,24.1,35.8,33.4
1001,Universidade Federal de Alagoas,Brazil,16.4,16.5,6.8,12.2,34.9,21.5
1001,Universidade Federal da Bahia,Brazil,16.4,21.8,13.7,18.7,34.4,23.9
1001,Universidade Federal do Ceará,Brazil,16.4,22.4,11.8,20.7,38.6,25.8
1001,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,16.4,20.3,10.5,12.9,34.4,18
1001,Universidade Federal do Espírito Santo,Brazil,16.4,17.9,9.3,16.2,36.1,22.4
1001,Universidade Federal de Goiás,Brazil,16.4,23.3,9.7,14.2,39.6,20.4
1001,Universidade Federal de Itajubá,Brazil,16.4,16.3,8.9,19.8,36.5,22.7
1001,Universidade Federal de Lavras,Brazil,16.4,23.9,16.8,11.2,54.8,18.8
1001,Universidade Federal de Mato Grosso do Sul,Brazil,16.4,17.1,6.9,7.4,34.4,16.8
1001,Universidade Federal de Ouro Preto,Brazil,16.4,16.3,9.6,19.4,36.4,20.6
1001,Universidade Federal do Pará,Brazil,16.4,17.1,9.6,11.8,34.8,24
1001,Universidade Federal do Paraná,Brazil,16.4,24.4,11.5,12.7,35.1,22.2
1001,Universidade Federal de Pernambuco,Brazil,16.4,26.9,9.2,14.3,35.9,20.8
1001,Universidade Federal do Rio Grande do Norte,Brazil,16.4,19.6,8.7,19,41.6,23.2
1001,Universidade Federal Rural do Semi-Árido,Brazil,16.4,27.5,7.7,1.7,34.4,14
1001,Universidade Federal de Santa Maria,Brazil,16.4,20.4,8.8,13.5,35,17.4
1001,Universidade Federal de São Carlos,Brazil,16.4,26.2,13.4,17.3,41.2,24.5
1001,Universidade Federal de Viçosa,Brazil,16.4,28.1,14.3,12.3,47.6,20.1
1001,Universidade Federal Fluminense,Brazil,16.4,20,11.3,14.8,35.2,23.5
1001,Universidade de Fortaleza,Brazil,16.4,14.8,7.3,41.4,34.4,29.1
1001,Universidade Estadual de Londrina,Brazil,16.4,21.4,13.3,16.3,34.4,18.7
1001,Pontifícia Universidade Católica de Minas Gerais,Brazil,16.4,15.3,7.7,6.7,35.1,19.4
1001,Pontifícia Universidade Católica do Paraná,Brazil,16.4,17.4,10.2,23.7,35.9,27.1
1001,Universidade Estadual de Ponta Grossa,Brazil,16.4,17.6,8.5,26.5,34.4,18.4
1001,Universidade Estadual de Santa Cruz,Brazil,16.4,27.4,7.6,8.5,35.7,23.4
1001,Universidade Tecnológica Federal do Paraná,Brazil,16.4,15.4,9.2,8.6,37.3,19.3
1001,Universidade do Vale do Rio dos Sinos,Brazil,16.4,18.4,10,21.5,46.3,19.7
